"Store code","Business name","Address","Labels","Monday","Tuesday","Wednesday","Thursday","Friday","Saturday","Sunday","12 AM","1 AM","3 AM","3 AM","4 AM","5 AM","6 AM","7 AM","8 AM","9 AM","10 AM","11 AM","12 PM","1 PM","2 PM","3 PM","4 PM","5 PM","6 PM","7 PM","8 PM","9 PM","10 PM","11 PM"
,,,,"Total number of phone calls made on Monday","Total number of phone calls made on Tuesday","Total number of phone calls made on Wednesday","Total number of phone calls made on Thursday","Total number of phone calls made on Friday","Total number of phone calls made on Saturday","Total number of phone calls made on Sunday","Total number of phone calls made between 12 AM and 1 AM","Total number of phone calls made between 1 AM and 3 AM","Total number of phone calls made between 3 AM and 3 AM","Total number of phone calls made between 3 AM and 4 AM","Total number of phone calls made between 4 AM and 5 AM","Total number of phone calls made between 5 AM and 6 AM","Total number of phone calls made between 6 AM and 7 AM","Total number of phone calls made between 7 AM and 8 AM","Total number of phone calls made between 8 AM and 9 AM","Total number of phone calls made between 9 AM and 10 AM","Total number of phone calls made between 10 AM and 11 AM","Total number of phone calls made between 11 AM and 12 PM","Total number of phone calls made between 12 PM and 1 PM","Total number of phone calls made between 1 PM and 2 PM","Total number of phone calls made between 2 PM and 3 PM","Total number of phone calls made between 3 PM and 4 PM","Total number of phone calls made between 4 PM and 5 PM","Total number of phone calls made between 5 PM and 6 PM","Total number of phone calls made between 6 PM and 7 PM","Total number of phone calls made between 7 PM and 8 PM","Total number of phone calls made between 8 PM and 9 PM","Total number of phone calls made between 9 PM and 10 PM","Total number of phone calls made between 10 PM and 11 PM","Total number of phone calls made between 11 PM and 12 AM"
,"Дорман Кърджали","ул. Стефан Стамболов 15, вход откъм ул. Булаир, 6600 Кърджали","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",0,2,1,0,0,3,0,0,0,0,0,0,0,0,0,0,0,0,3,0,0,0,2,0,0,1,0,0,0,0,0
,"Врати ABC - интериорни, блиндирани входни врати","Бриз Юг, Блок В, бул. „8-ми Приморски полк“, Варна, 9010 Варна",,2,1,5,5,2,2,0,0,0,0,0,0,0,0,0,2,3,1,0,0,2,2,3,2,0,2,0,0,0,0,0
,"Врати Express","бул. Aкадемик Иван Евстратиев Гешов 102, 1612 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",10,0,3,2,4,1,0,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,3,1,1,5,0,0,0,0,0
,"Интериорни Врати Порта Нова Варна - Блиндирани входни врати","ул. Роза, 4, 9010 Варна","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, пожароустойчиви врати, алуминиеви врати",4,5,4,6,8,1,0,0,0,0,0,0,0,0,0,0,3,3,2,5,2,4,6,0,3,0,0,0,0,0,0
,"Врати Експерт Кърджали","улица „1-ви Май“ 2A, 6602 Кърджали","врати, интериорни врати, входни врати, блиндирани врати, стъклени врати, метални врати, алуминиеви врати, пожароустойчиви врати",0,3,4,2,2,0,1,0,0,0,0,0,0,0,0,0,3,0,0,2,1,0,2,0,0,2,0,1,0,1,0
,"Порта Нова Бургас - Интериорни Врати Бургас","улица „Одрин“ 15, 8001 Бургас","врати, интериорни врати, стъклени врати, метални врати, блиндирани врати, алуминиеви врати, входни врати, пожароустойчиви врати",18,4,3,6,6,3,4,2,0,0,0,0,0,0,0,0,9,11,5,3,7,2,0,0,2,3,0,0,0,0,0
,"Врати София - Красно Село","булевард „Цар Борис III“ 111А, 1612 София","врати, интериорни врати, входни врати, блиндирани врати, стъклени врати, алуминиеви врати, метални врати, пожароустойчиви врати",2,1,4,2,0,3,0,0,0,0,0,0,0,0,0,0,1,0,1,0,1,0,3,2,1,1,2,0,0,0,0
,"Врати Добрич","ул. Св. Св. Кирил и Методий 41, 9300 Добрич","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",3,1,3,0,0,0,0,0,0,0,0,0,0,0,0,0,4,0,1,0,1,0,0,0,0,1,0,0,0,0,0
,"Врати Дорман - Блиндирани входни врати Велико Търново","бул. България 26, 5000 Велико Търново",,3,3,1,2,6,1,0,0,0,0,0,0,0,0,0,1,3,1,1,1,2,6,0,1,0,0,0,0,0,0,0
,"Врати Експерт София - Модерно Предградие","кв. Модерно Предградие, ул. Адам Мицкевич 33, 1360 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",4,0,1,0,1,0,0,0,0,0,0,0,0,0,0,1,0,0,1,1,1,0,0,0,0,2,0,0,0,0,0
,"Дорман София - Лозенец","улица „Стоян Михайловски“ 14, 1164 София","врати, интериорни врати, входни врати, блиндирани врати, алуминиеви врати, метални врати, стъклени врати, пожароустойчиви врати",4,4,0,4,4,1,1,0,0,0,0,0,0,0,0,0,0,3,6,3,0,3,0,1,1,0,0,0,1,0,0
,"Врати Дорман София - Герена","булевард „Владимир Вазов“ 15, 1510 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",0,5,3,5,4,0,0,0,0,0,0,0,0,0,0,0,3,3,2,0,4,0,1,2,2,0,0,0,0,0,0
,"Врати София нет","ж.к. Света Троица 173-Б, 1309 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, алуминиеви врати, стъклени врати, пожароустойчиви врати",4,0,1,4,0,2,1,0,0,0,0,0,0,0,0,0,1,0,0,2,0,1,1,4,1,0,0,1,0,1,0
,"Врати Варна","улица „Беласица“ 20, 9000 Варна","входни врати, интериорни врати, блиндирани врати, стъклени врати, метални врати, пожароустойчиви врати, врати, алуминиеви врати",0,0,0,0,1,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,0,0,1,0,0,0,0,0,0,0,0
,"Интериорни врати Дорман - Русе - входни врати, блиндирани врати","улица „Ангел Кънчев“ 37, 7000 Русе","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",0,0,0,3,1,0,0,0,0,0,0,0,0,0,0,0,1,0,0,2,0,0,1,0,0,0,0,0,0,0,0
,"Врати Пловдив - Ботев","булевард „Христо Ботев“ 89, 4000 Пловдив","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",1,0,3,1,0,0,0,0,0,0,0,0,0,0,0,0,0,2,1,1,0,0,0,1,0,0,0,0,0,0,0
,"Входни Врати Дорман - Варна - Интериорни Врати","булевард „Христо Смирненски“ 17, 9009 Варна","врати, входни врати, интериорни врати, стъклени врати, блиндирани врати, метални врати, пожароустойчиви врати, алуминиеви врати",2,2,4,2,3,1,0,0,0,0,0,0,0,0,0,0,2,2,1,3,2,1,0,0,0,0,3,0,0,0,0
,"Врати Порта Нова Добрич - интериорни врати и блиндирани входни врати","бул. „Русия“ 88, 9300 Добрич","врати, интериорни врати, входни врати, блиндирани врати, метални врати, алуминиеви врати, стъклени врати, пожароустойчиви врати",1,2,2,2,0,0,0,0,0,0,0,0,0,0,0,0,2,1,0,1,0,2,1,0,0,0,0,0,0,0,0
,"Врати София - Младост","булевард „Александър Малинов“ 51, 1712 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",1,3,2,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,2,3,0,1,1,0,0,0,0
,"Порта Нова - Люлин","булевард „Джавахарлал Неру“ 752, 1324 София","врати, интериорни врати, входни врати, блиндирани врати, метални врати, стъклени врати, алуминиеви врати, пожароустойчиви врати",5,4,1,3,4,1,1,0,0,0,0,0,0,0,0,0,3,3,1,1,1,2,5,0,2,1,0,0,0,0,0
